Row,Part Number,Description,Status,Confidence,Issue,Field,Detail,Suggested Value
7,5B-332-080,"5B-332-080 HIOLIT 5"" P80",NEEDS_REVIEW,0.72,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
8,5B-332-120,"5B-332-120 HIOLIT 5"" P120",NEEDS_REVIEW,0.72,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
9,9A-570-240,9A-570-240 Abranet 2.75x30,NEEDS_REVIEW,0.75,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
10,9A-570-320,9A-570-320 Abranet 2.75x30,NEEDS_REVIEW,0.75,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
58,1700-1PK-BB40,3/4x60' Vinyl Elect Tape,NEEDS_REVIEW,0.83,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
59,ASH-40-40-04,1.5x1.5x13' Legacy Emseal Tape,NEEDS_REVIEW,0.78,Attribute coverage below threshold,__attributes__,20% of the 5 template slots populated,
60,KDFM404KPS,KDFM404KPS Dishwasher SS,NEEDS_REVIEW,0.47,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
60,KDFM404KPS,KDFM404KPS Dishwasher SS,NEEDS_REVIEW,0.47,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
60,KDFM404KPS,KDFM404KPS Dishwasher SS,NEEDS_REVIEW,0.47,Attribute coverage below threshold,__attributes__,20% of the 15 template slots populated,
60,KDFM404KPS,KDFM404KPS Dishwasher SS,NEEDS_REVIEW,0.47,Product confidence below publication threshold,,0.47 < 0.62,
61,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
61,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
61,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Attribute coverage below threshold,__attributes__,20% of the 15 template slots populated,
61,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Product confidence below publication threshold,,0.47 < 0.62,
62,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,NEEDS_REVIEW,0.59,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
62,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,NEEDS_REVIEW,0.59,Attribute coverage below threshold,__attributes__,20% of the 15 template slots populated,
62,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,NEEDS_REVIEW,0.59,Product confidence below publication threshold,,0.59 < 0.62,
63,LDPH5554D,LDPH5554D LG Dishwasher BSS,NEEDS_REVIEW,0.57,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
63,LDPH5554D,LDPH5554D LG Dishwasher BSS,NEEDS_REVIEW,0.57,Attribute coverage below threshold,__attributes__,13% of the 15 template slots populated,
63,LDPH5554D,LDPH5554D LG Dishwasher BSS,NEEDS_REVIEW,0.57,Product confidence below publication threshold,,0.57 < 0.62,
64,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
64,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
64,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Attribute coverage below threshold,__attributes__,20% of the 15 template slots populated,
64,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,NEEDS_REVIEW,0.47,Product confidence below publication threshold,,0.47 < 0.62,
65,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,NEEDS_REVIEW,0.59,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
65,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,NEEDS_REVIEW,0.59,Attribute coverage below threshold,__attributes__,20% of the 15 template slots populated,
65,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,NEEDS_REVIEW,0.59,Product confidence below publication threshold,,0.59 < 0.62,
66,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,NEEDS_REVIEW,0.57,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
66,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,NEEDS_REVIEW,0.57,Attribute coverage below threshold,__attributes__,13% of the 15 template slots populated,
66,KDTS424SBE,KDTS424SBE Kitchen Aid Dishwasher Bk,NEEDS_REVIEW,0.57,Product confidence below publication threshold,,0.57 < 0.62,
67,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,NEEDS_REVIEW,0.59,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
67,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,NEEDS_REVIEW,0.59,Attribute coverage below threshold,__attributes__,20% of the 15 template slots populated,
67,KDTS324SPS,KDTS324SPS Kitchen Aid Dishwasher SS,NEEDS_REVIEW,0.59,Product confidence below publication threshold,,0.59 < 0.62,
68,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,NEEDS_REVIEW,0.46,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
68,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,NEEDS_REVIEW,0.46,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
68,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,NEEDS_REVIEW,0.46,Attribute coverage below threshold,__attributes__,13% of the 15 template slots populated,
68,KDPS624SJP,KDPS624SJP Dishwasher Juniper - Display Only,NEEDS_REVIEW,0.46,Product confidence below publication threshold,,0.46 < 0.62,
69,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,NEEDS_REVIEW,0.54,Brand inferred from part-number prefix,BRAND_NAME,"part-number prefix 'KDTS' maps to KitchenAid in 2 other rows of this feed sharing the same category (built_in_dishwashers) (KDTS324SPS, KDTS424SBE)",KitchenAid
69,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,NEEDS_REVIEW,0.54,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
69,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,NEEDS_REVIEW,0.54,Brand confidence below threshold,BRAND_NAME,0.54 < 0.6,KitchenAid
69,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,NEEDS_REVIEW,0.54,Attribute coverage below threshold,__attributes__,13% of the 15 template slots populated,
69,KDTS624SBE,KDTS624SBE Dishwasher BO Display Only,NEEDS_REVIEW,0.54,Product confidence below publication threshold,,0.54 < 0.62,
70,D519127,D519127 Heater Kit,NEEDS_REVIEW,0.26,Classification could not be settled automatically,Classpath,"ambiguous or unmatched; no model available, so the record is flagged for human review rather than guessed",
70,D519127,D519127 Heater Kit,NEEDS_REVIEW,0.26,Brand unresolved,BRAND_NAME,"no brand evidence in feed columns, description or supplier",
70,D519127,D519127 Heater Kit,NEEDS_REVIEW,0.26,Product could not be classified,Classpath,no taxonomy leaf matched; generic template applied,
70,D519127,D519127 Heater Kit,NEEDS_REVIEW,0.26,Attribute coverage below threshold,__attributes__,0% of the 5 template slots populated,
70,D519127,D519127 Heater Kit,NEEDS_REVIEW,0.26,Validation error,Classpath,'Classpath' is required for a publishable record,
70,D519127,D519127 Heater Kit,NEEDS_REVIEW,0.26,Product confidence below publication threshold,,0.26 < 0.62,
71,DF7004WE,DF7004WE Speed Queen Elect Dryer Wh,NEEDS_REVIEW,0.59,Manufacturer unresolved,MANUFACTURER_NAME,'Appliance Dealers Cooperative' is a distributor/co-op (carries 8 brands); the manufacturer of record needs manufacturer evidence,
71,DF7004WE,DF7004WE Speed Queen Elect Dryer Wh,NEEDS_REVIEW,0.59,Attribute coverage below threshold,__attributes__,22% of the 9 template slots populated,
71,DF7004WE,DF7004WE Speed Queen Elect Dryer Wh,NEEDS_REVIEW,0.59,Product confidence below publication threshold,,0.59 < 0.62,
